postcode,point_coord,street,city,state,is_klang_valley,is_peninsular,is_east_malaysia,is_kuala_lumpur
1000,POINT(6.4312 100.2056),Taman Desa Pulai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Putra,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Desa Sentua,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Fauziah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Firdaus,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Gasing,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Gembira,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Guru Jaya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Guru,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Hijrah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Idaman,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Indera,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Intan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Ira,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jali,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jarak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jawi Matang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jaya ,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jaya Diri,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jejawi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Jelati,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kangar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kastam ,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kayangan Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kechor Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kechor Jaya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kecor Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kemajuan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Kenanga,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Koperasi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Lewata,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Lima Naleh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mada Sepakat,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mas Muda,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mas Putra,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mas Ria,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Medan Sepakat,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Merpati,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mesra ,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mesra Jejawi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mewah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Muda Sepakat,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Murni,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Mutiara,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Norma,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Peduka,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pekeliling,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pengkalan Assam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pengkalan Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Perlis,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Permai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pertama,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pertiwi Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Pertiwi Seriab,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Putera,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Putra Putri,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Rasa Sayang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Repoh Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Repoh Jaya,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Repoh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sena Indah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sena Permai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sena,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Taman Sentua,Kangar,Perlis,0,1,0,0
